key,translation,locale
page.checkout.payment.heading,3. Zahlungsart wählen,de_DE
page.checkout.payment.heading,3. Payment Method,en_US
page.checkout.payment.edit,Zahlungsart bearbeiten,de_DE
page.checkout.payment.edit,edit Payment Method,en_US
page.checkout.payment.next-step,Weiter - Prüfen und Kauf abschließen,de_DE
page.checkout.payment.next-step,Continue to finalise order,en_US
page.checkout.summary.products,Products,en_US
page.checkout.summary.products,Artikel,de_DE
page.checkout.summary.billing,Rechnungsadresse,de_DE
page.checkout.summary.billing,Invoice Address,en_US
page.checkout.summary.shipping,Lieferadresse,de_DE
page.checkout.summary.shipping,Shipping Address,en_US
page.checkout.summary.date_of_birth,Date of Birth,en_US
page.checkout.summary.date_of_birth,Geburtsdatum,de_DE
page.checkout.summary.card_type,Card Type,en_US
page.checkout.summary.card_type,Kartentyp,de_DE
page.checkout.summary.card_number,Card Number,en_US
page.checkout.summary.card_number,Nummer,de_DE
page.checkout.summary.name_on_card,Name on the Card,en_US
page.checkout.summary.name_on_card,Name auf der Karte,de_DE
page.checkout.summary.card_expires,Expiry Date,en_US
page.checkout.summary.card_expires,Gültig bis,de_DE
page.checkout.summary.complete_checkout,Complete checkout,en_US
page.checkout.summary.complete_checkout,Gesamtsumme,de_DE
page.checkout.finalize.heading,4. Prüfen und Kauf abschließen,de_DE
page.checkout.finalize.heading,4. Check and finalise order,en_US
shipment.international.parcel.service,International Parcel Services,de_DE
shipment.international.parcel.service,International Parcel Services,en_US
page.checkout.terms,Ich akzeptiere die AGBs.,de_DE
page.checkout.terms,I accept the general terms and conditions.,en_US
page.checkout.finalize.enter-voucher,Gutscheincode eingeben,de_DE
page.checkout.finalize.enter-voucher,Enter voucher code,en_US
page.checkout.finalize.tos,Mit dem Klick auf die Schaltfläche „Wunscheinkauf übermitteln“ bestätige ich die ABG von Spryker Toys,de_DE
page.checkout.finalize.tos,"With a click to the button ""Buy now"" I confirm the GTCs.",en_US
page.checkout.finalize.buy-now,Wunscheinkauf übermitteln,de_DE
page.checkout.finalize.buy-now,Buy now,en_US
page.detail.add-to-cart,Auf die Einkaufsliste,de_DE
page.detail.add-to-cart,Add to Cart,en_US
page.detail.dimensions,Abmessungen,de_DE
page.detail.dimensions,Measurements,en_US
page.product.by,von,de_DE
page.product.by,by,en_US
page.product.details,Details,de_DE
page.product.details,Details,en_US
page.product.similar-products,Könnte dir auch gefallen,de_DE
page.product.similar-products,You might also like,en_US
page.imprint.url,/de/impressum,de_DE
page.imprint.url,/en/imprint,en_US
page.imprint.title,Impressum,de_DE
page.imprint.title,Imprint,en_US
page.terms.url,/de/agb-online-kauf,de_DE
page.terms.url,/en/gtc-online-purchase,en_US
page.terms.title,AGB,de_DE
page.terms.title,GTC,en_US
page.privacy.url,/de/datenschutz,de_DE
page.privacy.url,/en/privacy,en_US
page.faq.url,/de/faq,de_DE
page.faq.url,/en/faq,en_US
page.privacy.title,Datenschutz,de_DE
page.privacy.title,Data privacy,en_US
catalog.currency,€,de_DE
catalog.currency,€,en_US
catalog.filter.filter,Filter / Sortierung,de_DE
catalog.filter.filter,Filters / Sorting,en_US
catalog.filter.button,Anwenden,de_DE
catalog.filter.button,Apply,en_US
catalog.filter.active,Aktive Filter,de_DE
catalog.filter.active,Active Filter,en_US
catalog.filter.main_color,Farbe,de_DE
catalog.filter.main_color,Color,en_US
catalog.filter.extras,Sonstige Merkmale,de_DE
catalog.filter.extras,Other characteristics,en_US
catalog.filter.pricerangeFrom,von,de_DE
catalog.filter.pricerangeFrom,from,en_US
catalog.filter.pricerangeTo,bis,de_DE
catalog.filter.pricerangeTo,to,en_US
catalog.filter.rangeFrom,Skala von,de_DE
catalog.filter.rangeFrom,Range of,en_US
catalog.filter.rangeTo,bis,de_DE
catalog.filter.rangeTo,to,en_US
catalog.filter.show,Filter einblenden,de_DE
catalog.filter.show,insert filter,en_US
catalog.filter.hide,Filter ausblenden,de_DE
catalog.filter.hide,hide filter,en_US
catalog.filter.rating_up,& Up,en_US
catalog.filter.rating_up,& mehr,de_DE
catalog.filter.active_rating_up,Stars & Up,en_US
catalog.filter.active_rating_up,Sterne & mehr,de_DE
catalog.filter.per,Pro Seite,de_DE
catalog.filter.per,Per Page,en_US
catalog.itemsFound,%numFound% Ergebnisse,de_DE
catalog.itemsFound,%numFound% Results,en_US
catalog.loading,Loading,de_DE
catalog.loading,Loading,en_US
catalog.next,weiter,de_DE
catalog.next,continue,en_US
catalog.prev,zurück,de_DE
catalog.prev,back,en_US
catalog.sort,Sortierung,de_DE
catalog.sort,Sorting,en_US
catalog.sort.relevance,Nach Relevanz sortieren,de_DE
catalog.sort.relevance,Sort by relevance,en_US
catalog.sort.name_asc,Nach Name aufsteigend sortieren,de_DE
catalog.sort.name_asc,Sort by name ascending,en_US
catalog.sort.name_desc,Nach Name absteigend sortieren,de_DE
catalog.sort.name_desc,Sort by name descending,en_US
catalog.sort.price_asc,Nach Preis aufsteigend sortieren,de_DE
catalog.sort.price_asc,Sort by price ascending,en_US
catalog.sort.price_desc,Nach Preis absteigend sortieren,de_DE
catalog.sort.price_desc,Sort by price descending,en_US
catalog.sort.rating,Sort by product ratings,en_US
catalog.sort.rating,Nach Produktbewertungen sortieren,de_DE
catalog.filter.activeFilters,Aktive Filter,de_DE
catalog.filter.activeFilters,Active filters,en_US
catalog.filter.resetAllFilters,Alle Filter zurücksetzen,de_DE
catalog.filter.resetAllFilters,Reset all filters,en_US
catalog.no-results,No results.,en_US
