StoreID;Regal;Regalmeter;Ebene;Reihenfolge
1042;20;20;5;101020005
1042;20;20;6;101020006
1042;20;20;7;101020007
1042;20;20;8;101020008
1042;20;20;9;101020009
1042;20;21;0;101021000
1042;20;21;1;101021001
1042;20;21;2;101021002
1042;20;21;3;101021003
1042;20;21;4;101021004
1042;20;21;5;101021005
1042;20;21;6;101021006
1042;20;21;7;101021007
1042;20;21;8;101021008
1042;20;21;9;101021009
1042;20;22;0;101022000
1042;20;22;1;101022001
1042;20;22;2;101022002
1042;20;22;3;101022003
1042;20;22;4;101022004
1042;20;22;5;101022005
1042;20;22;6;101022006
1042;20;22;7;101022007
1042;20;22;8;101022008
1042;20;22;9;101022009
1042;20;23;0;101023000
1042;20;23;1;101023001
1042;20;23;2;101023002
1042;20;23;3;101023003
1042;20;23;4;101023004
1042;20;23;5;101023005
1042;20;23;6;101023006
1042;20;23;7;101023007
1042;20;23;8;101023008
1042;20;23;9;101023009
1042;20;24;0;101024000
1042;20;24;1;101024001
1042;20;24;2;101024002
1042;20;24;3;101024003
1042;20;24;4;101024004
1042;20;24;5;101024005
1042;20;24;6;101024006
1042;20;24;7;101024007
1042;20;24;8;101024008
1042;20;24;9;101024009
1042;20;25;0;101025000
1042;20;25;1;101025001
1042;20;25;2;101025002
1042;20;25;3;101025003
1042;20;25;4;101025004
1042;20;25;5;101025005
1042;20;25;6;101025006
1042;20;25;7;101025007
1042;20;25;8;101025008
1042;20;25;9;101025009
1042;21;0;0;102000000
1042;21;0;1;102000001
1042;21;0;2;102000002
1042;21;0;3;102000003
1042;21;0;4;102000004
1042;21;0;5;102000005
1042;21;0;6;102000006
1042;21;0;7;102000007
1042;21;0;8;102000008
1042;21;0;9;102000009
1042;21;1;0;102001000
1042;21;1;1;102001001
1042;21;1;2;102001002
1042;21;1;3;102001003
1042;21;1;4;102001004
1042;21;1;5;102001005
1042;21;1;6;102001006
1042;21;1;7;102001007
1042;21;1;8;102001008
1042;21;1;9;102001009
1042;21;2;0;102002000
1042;21;2;1;102002001
1042;21;2;2;102002002
1042;21;2;3;102002003
1042;21;2;4;102002004
1042;21;2;5;102002005
1042;21;2;6;102002006
1042;21;2;7;102002007
1042;21;2;8;102002008
1042;21;2;9;102002009
1042;21;3;0;102003000
1042;21;3;1;102003001
1042;21;3;2;102003002
1042;21;3;3;102003003
1042;21;3;4;102003004
1042;21;3;5;102003005
1042;21;3;6;102003006
1042;21;3;7;102003007
1042;21;3;8;102003008
1042;21;3;9;102003009
1042;21;4;0;102004000
1042;21;4;1;102004001
1042;21;4;2;102004002
1042;21;4;3;102004003
1042;21;4;4;102004004
1042;21;4;5;102004005
1042;21;4;6;102004006
1042;21;4;7;102004007
1042;21;4;8;102004008
1042;21;4;9;102004009
1042;21;5;0;102005000
1042;21;5;1;102005001
1042;21;5;2;102005002
1042;21;5;3;102005003
1042;21;5;4;102005004
1042;21;5;5;102005005
1042;21;5;6;102005006
1042;21;5;7;102005007
1042;21;5;8;102005008
1042;21;5;9;102005009
1042;21;6;0;102006000
1042;21;6;1;102006001
1042;21;6;2;102006002
1042;21;6;3;102006003
1042;21;6;4;102006004
1042;21;6;5;102006005
1042;21;6;6;102006006
1042;21;6;7;102006007
1042;21;6;8;102006008
1042;21;6;9;102006009
1042;21;7;0;102007000
1042;21;7;1;102007001
1042;21;7;2;102007002
1042;21;7;3;102007003
1042;21;7;4;102007004
1042;21;7;5;102007005
1042;21;7;6;102007006
1042;21;7;7;102007007
1042;21;7;8;102007008
1042;21;7;9;102007009
1042;21;8;0;102008000
1042;21;8;1;102008001
1042;21;8;2;102008002
1042;21;8;3;102008003
1042;21;8;4;102008004
1042;21;8;5;102008005
1042;21;8;6;102008006
1042;21;8;7;102008007
1042;21;8;8;102008008
1042;21;8;9;102008009
1042;21;9;0;102009000
1042;21;9;1;102009001
1042;21;9;2;102009002
1042;21;9;3;102009003
1042;21;9;4;102009004
1042;21;9;5;102009005
1042;21;9;6;102009006
1042;21;9;7;102009007
1042;21;9;8;102009008
1042;21;9;9;102009009
1042;21;10;0;102010000
1042;21;10;1;102010001
1042;21;10;2;102010002
1042;21;10;3;102010003
1042;21;10;4;102010004
1042;21;10;5;102010005
1042;21;10;6;102010006
1042;21;10;7;102010007
1042;21;10;8;102010008
1042;21;10;9;102010009
1042;21;11;0;102011000
1042;21;11;1;102011001
1042;21;11;2;102011002
1042;21;11;3;102011003
1042;21;11;4;102011004
1042;21;11;5;102011005
1042;21;11;6;102011006
1042;21;11;7;102011007
1042;21;11;8;102011008
1042;21;11;9;102011009
1042;21;12;0;102012000
1042;21;12;1;102012001
1042;21;12;2;102012002
1042;21;12;3;102012003
1042;21;12;4;102012004
1042;21;12;5;102012005
1042;21;12;6;102012006
1042;21;12;7;102012007
1042;21;12;8;102012008
1042;21;12;9;102012009
1042;21;13;0;102013000
1042;21;13;1;102013001
1042;21;13;2;102013002
1042;21;13;3;102013003
1042;21;13;4;102013004
1042;21;13;5;102013005
1042;21;13;6;102013006
1042;21;13;7;102013007
1042;21;13;8;102013008
1042;21;13;9;102013009
1042;21;14;0;102014000
1042;21;14;1;102014001
1042;21;14;2;102014002
1042;21;14;3;102014003
1042;21;14;4;102014004
1042;21;14;5;102014005
1042;21;14;6;102014006
1042;21;14;7;102014007
1042;21;14;8;102014008
1042;21;14;9;102014009
1042;21;15;0;102015000
1042;21;15;1;102015001
1042;21;15;2;102015002
1042;21;15;3;102015003
1042;21;15;4;102015004
1042;21;15;5;102015005
1042;21;15;6;102015006
1042;21;15;7;102015007
1042;21;15;8;102015008
1042;21;15;9;102015009
1042;21;16;0;102016000
1042;21;16;1;102016001
1042;21;16;2;102016002
1042;21;16;3;102016003
1042;21;16;4;102016004
1042;21;16;5;102016005
1042;21;16;6;102016006
1042;21;16;7;102016007
1042;21;16;8;102016008
1042;21;16;9;102016009
1042;21;17;0;102017000
1042;21;17;1;102017001
1042;21;17;2;102017002
1042;21;17;3;102017003
