ordernumber|sapnumber|sap_unit|name|description_long|supplier|tax|ballaststoffe|fettefettungsaeurenp100gml|eiweissp100gml|energiekcalp100gml|energiekjp100gml|fettp100gml|fettefettgsaeurenp100gml|kohlhyalkp100gml|kohlstrp100gml|kohlzkrp100gml|kohlp100gml|fettefettmgsaeurenp100gml|salz100gml|alkgeh|mainimage_filename|entallerg|mentallerg|zutaten|bio|vegan|vegetarisch|laktosefrei|glutenfrei|fairtrade|pfandpflicht|pfandbetrag|artikeltyp|fsk|inverkehrbringer|grundpreispflicht|grundpreisinhalt|grundpreismasseinheit|grundeinheit|verpackungseinheit|groupid|active|bontext|sapwgr|herkunftsland|pfand_1_sapnumber|pfand_1_plu|pfand_1_count|pfand_1_amount|pfand_2_sapnumber|pfand_2_plu|pfand_2_count|pfand_2_amount|handelsklasse|einzelgewicht|herkunftsland_o_g|nonfoodingredients|warnhinweise|verwendungshinweise|temperaturecondition|pickzone|orderlimit|pet_feeding_table|SAP-WGR|Zusatzkategorie|Altersempfehlung|NOS Artikel|Classification_ID
287030|287030|ST|Rinderbrust ohne Knochen|Portioniert zu je ca. 600 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287030.jpg|||Zutaten: CHAROLAIS RINDERBRUST ZUM KOCHEN|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,6|||||||50|||1011|||cls_de_cc_320300
287031|287031|ST|Hackfleisch gemischt|Portioniert zu je ca. 600 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287031.jpg|||Zutaten: SCHWEINEFLEISCH, RINDFLEISCH|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,6|||||||50|||1011|||cls_de_cc_320300
287032|287032|ST|Schweinebug|Portioniert zu je ca. 700 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287032.jpg|||Zutaten: Schweinefleisch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,7|||||||50|||1011|||cls_de_cc_320300
287033|287033|ST|Rinderhackfleisch|Portioniert zu je ca. 200 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287033.jpg|||Zutaten: RINDERHACKFLEISCH ZUM ROHESSEN|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,2|||||||50|||1011|||cls_de_cc_320300
287034|287034|ST|Roastbeef am Stück|Portioniert zu je ca. 500 g am Stück. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287034.jpg|||Zutaten: ROASTBEEF VOM CHAROLAIS JUNGBULLEN ZART ABGEHANGEN|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,5|||||||50|||1011|||cls_de_cc_320300
287035|287035|ST|Rindergulasch|Portioniert zu je ca. 500 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287035.jpg|||Zutaten: CHAROLAIS RINDERGULASCH  ZART UND MAGER|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,5|||||||50|||1011|||cls_de_cc_320300
287036|287036|ST|Rinderhüftsteaks|Portioniert zu je ca. 500 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287036.jpg|||Zutaten: Charolais Jungbulle abgehangen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,5|||||||50|||1011|||cls_de_cc_320300
287037|287037|ST|Schweineschnitzel|Inhalt: 3 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287037.jpg|||Zutaten: SCHWEINESCHNITZEL AUS DER OBERSCHALE 3 Stück|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,45|||||||50|||1011|||cls_de_cc_320300
287038|287038|ST|Halskotelett geschnitten mit Knochen|Inhalt: 3 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287038.jpg|||Zutaten: Schweinefleisch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,5|||||||50|||1011|||cls_de_cc_320300
2870381042|2870381042|ST|Halskotelett geschnitten mit Knochen|Inhalt: 3 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287038.jpg|||Zutaten: Schweinefleisch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,4|||||||50|||1011|||cls_de_cc_320300
