categoryIdStibo|parentIdCategoryStibo|name|metatitle|metadescription
cls_de_cc_E70100|cls_de_cc_E70000|Allesschneider|"Allesschneider bei Globus | Alle Angebote zeigen"|Allesschneider ⮞ Breite Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Jetzt Globus erleben!
cls_de_cc_E70200|cls_de_cc_E70000|Dampfgarer|"Dampfgarer bei Globus | Jetzt informieren!"|Dampfgarer ⮞ Umfangreiche Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Jetzt Globus erleben!
cls_de_cc_E70300|cls_de_cc_E70000|Eierkocher|"Eierkocher bei Globus | Klicken & entdecken!"|Eierkocher ⮞ Riesige Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E70400|cls_de_cc_E70000|Eismaschinen|"Eismaschinen bei Globus | Alle Angebote zeigen"|Eismaschinen ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Jetzt zu Globus!
cls_de_cc_E70500|cls_de_cc_E70000|Entsafter|"Entsafter bei Globus | Jetzt informieren!"|Entsafter ⮞ Umfangreiche Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Jetzt Globus erleben!
cls_de_cc_E70600|cls_de_cc_E70000|Fleischwölfe|"Fleischwölfe bei Globus | Mehr erfahren"|Fleischwölfe ⮞ Breite Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt Globus erleben!
cls_de_cc_E70700|cls_de_cc_E70000|Fritteusen|"Fritteusen bei Globus | Jetzt informieren!"|Fritteusen ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_E70800|cls_de_cc_E70000|Küchenmaschinen|"Küchenmaschinen bei Globus | Mehr erfahren"|Küchenmaschinen ⮞ Große Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt Globus erleben!
cls_de_cc_E70900|cls_de_cc_E70000|Mikrowellen|"Mikrowellen bei Globus | Klicken & entdecken!"|Mikrowellen ⮞ Umfangreiche Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_E71000|cls_de_cc_E70000|Miniöfen|"Miniöfen bei Globus | Suchen und Finden"|Miniöfen ⮞ Riesige Auswahl in der Kategorie Küchengeräte ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Jetzt Globus erleben!
