Facet;FacetValue;URL
1475;"Vánoce/Dárky/Drogerie a kosmetika/Dárkové sady pro ženy";/cz/vánoce/dárky/drogerie-a-kosmetika/dárkové-sady-pro-ženy
1476;"Vánoce/Dárky/Drogerie a kosmetika/Dárkové sady pro muže";/cz/vánoce/dárky/drogerie-a-kosmetika/dárkové-sady-pro-muže
1477;"Vánoce/Dárky/Drogerie a kosmetika/Dárkové sady pro děti";/cz/vánoce/dárky/drogerie-a-kosmetika/dárkové-sady-pro-děti
964;"Domácnost a zahrada/Knihy/Dárkové a balicí potřeby/Dárkové tašky";/cz/domácnost-a-zahrada/knihy/dárkové-a-balicí-potřeby/dárkové-tašky
965;"Domácnost a zahrada/Knihy/Dárkové a balicí potřeby/Sáčky a fólie";/cz/domácnost-a-zahrada/knihy/dárkové-a-balicí-potřeby/sáčky-a-fólie
966;"Domácnost a zahrada/Knihy/Dárkové a balicí potřeby/Rozety a mašle";/cz/domácnost-a-zahrada/knihy/dárkové-a-balicí-potřeby/rozety-a-mašle
967;"Domácnost a zahrada/Knihy/Dárkové a balicí potřeby/Krabice a krabičky";/cz/domácnost-a-zahrada/knihy/dárkové-a-balicí-potřeby/krabice-a-krabičky
968;"Domácnost a zahrada/Knihy/Dárkové a balicí potřeby/Balicí papír";/cz/domácnost-a-zahrada/knihy/dárkové-a-balicí-potřeby/balicí-papír
969;"Domácnost a zahrada/Knihy/Dárkové a balicí potřeby/Stuhy";/cz/domácnost-a-zahrada/knihy/dárkové-a-balicí-potřeby/stuhy
970;"Domácnost a zahrada/Knihy/Průvodce a cestování/Mapy";/cz/domácnost-a-zahrada/knihy/průvodce-a-cestování/mapy
971;"Domácnost a zahrada/Knihy/Průvodce a cestování/Atlasy";/cz/domácnost-a-zahrada/knihy/průvodce-a-cestování/atlasy
972;"Domácnost a zahrada/Knihy/Průvodce a cestování/Průvodce";/cz/domácnost-a-zahrada/knihy/průvodce-a-cestování/průvodce
973;"Poctivá výroba Globus/Uzeniny a lahůdky Globus/Šunky a slaniny/Drůběží šunka";/cz/poctivá-výroba-globus/uzeniny-a-lahůdky-globus/šunky-a-slaniny/drůběží-šunka
974;"Poctivá výroba Globus/Uzeniny a lahůdky Globus/Šunky a slaniny/Hovězí šunka";/cz/poctivá-výroba-globus/uzeniny-a-lahůdky-globus/šunky-a-slaniny/hovězí-šunka
976;"Poctivá výroba Globus/Uzeniny a lahůdky Globus/Šunky a slaniny/Slaniny a špeky";/cz/poctivá-výroba-globus/uzeniny-a-lahůdky-globus/šunky-a-slaniny/slaniny-a-špeky
977;"Poctivá výroba Globus/Uzeniny a lahůdky Globus/Šunky a slaniny/Uzené";/cz/poctivá-výroba-globus/uzeniny-a-lahůdky-globus/šunky-a-slaniny/uzené
978;"Poctivá výroba Globus/Uzeniny a lahůdky Globus/Šunky a slaniny/Vepřové šunky";/cz/poctivá-výroba-globus/uzeniny-a-lahůdky-globus/šunky-a-slaniny/vepřové-šunky
989;"Drogerie a kosmetika/Čisticí a mycí prostředky/Mytí nádobí/Ruční mytí";/cz/drogerie-a-kosmetika/čisticí-a-mycí-prostředky/mytí-nádobí/ruční-mytí
990;"Drogerie a kosmetika/Čisticí a mycí prostředky/Mytí nádobí/Tablety, gely do myčky";/cz/drogerie-a-kosmetika/čisticí-a-mycí-prostředky/mytí-nádobí/tablety,-gely-do-myčky
991;"Drogerie a kosmetika/Čisticí a mycí prostředky/Mytí nádobí/Houbičky, utěrky, rukavice";/cz/drogerie-a-kosmetika/čisticí-a-mycí-prostředky/mytí-nádobí/houbičky,-utěrky,-rukavice
1478;"Drogerie a kosmetika/Čisticí a mycí prostředky/Mytí nádobí/Aditiva do myčky";/cz/drogerie-a-kosmetika/čisticí-a-mycí-prostředky/mytí-nádobí/aditiva-do-myčky
992;"Domácnost a zahrada/Hobby, dům/Železářské zboží/Šrouby, vruty";/cz/domácnost-a-zahrada/hobby,-dům/železářské-zboží/šrouby,-vruty
993;"Domácnost a zahrada/Hobby, dům/Železářské zboží/Matice";/cz/domácnost-a-zahrada/hobby,-dům/železářské-zboží/matice
994;"Domácnost a zahrada/Hobby, dům/Železářské zboží/Hřebíky, háčky, skoby";/cz/domácnost-a-zahrada/hobby,-dům/železářské-zboží/hřebíky,-háčky,-skoby
995;"Domácnost a zahrada/Hobby, dům/Železářské zboží/Hmoždinky, kotvy";/cz/domácnost-a-zahrada/hobby,-dům/železářské-zboží/hmoždinky,-kotvy
996;"Domácnost a zahrada/Hobby, dům/Železářské zboží/Kování a zámky";/cz/domácnost-a-zahrada/hobby,-dům/železářské-zboží/kování-a-zámky
1479;"Domácnost a zahrada/Hobby, dům/Železářské zboží/Spojovací materiál";/cz/domácnost-a-zahrada/hobby,-dům/železářské-zboží/spojovací-materiál
1480;"Domácnost a zahrada/Hobby, dům/Železářské zboží/Čištění";/cz/domácnost-a-zahrada/hobby,-dům/železářské-zboží/čištění
406;"Domácnost a zahrada/Lékárna/Péče o zdraví/Kondomy a lubrikační gely";/cz/domácnost-a-zahrada/lékárna/péče-o-zdraví/kondomy-a-lubrikační-gely
408;"Domácnost a zahrada/Lékárna/Péče o zdraví/Domácí lékárnička";/cz/domácnost-a-zahrada/lékárna/péče-o-zdraví/domácí-lékárnička
409;"Domácnost a zahrada/Lékárna/Péče o zdraví/Vitamíny a doplňky stravy";/cz/domácnost-a-zahrada/lékárna/péče-o-zdraví/vitamíny-a-doplňky-stravy
1481;"Svět dětí/Dětská výživa/Kojenecká mléka/Počáteční";/cz/svět-dětí/dětská-výživa/kojenecká-mléka/počáteční
1482;"Svět dětí/Dětská výživa/Kojenecká mléka/Pokračující";/cz/svět-dětí/dětská-výživa/kojenecká-mléka/pokračující
1483;"Domácnost a zahrada/Zahrada/Proti hmyzu a škůdcům/Proti hmyzu";/cz/domácnost-a-zahrada/zahrada/proti-hmyzu-a-škůdcům/proti-hmyzu
1484;"Domácnost a zahrada/Zahrada/Proti hmyzu a škůdcům/Proti hlodavcům";/cz/domácnost-a-zahrada/zahrada/proti-hmyzu-a-škůdcům/proti-hlodavcům
1485;"Domácnost a zahrada/Zahrada/Proti hmyzu a škůdcům/Postřikovače";/cz/domácnost-a-zahrada/zahrada/proti-hmyzu-a-škůdcům/postřikovače
999;"Trvanlivé potraviny/Džemy, marmelády, med/Džemy a marmelády/Vícedruhové";/cz/trvanlivé-potraviny/džemy,-marmelády,-med/džemy-a-marmelády/vícedruhové
1000;"Trvanlivé potraviny/Džemy, marmelády, med/Džemy a marmelády/Jednodruhové";/cz/trvanlivé-potraviny/džemy,-marmelády,-med/džemy-a-marmelády/jednodruhové
